Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Milk skim,1 qt.,984,360,36,0,0,0,52,Dairy products
Cheddar,1-in. cube,17,70,4,6,5,0,0,Dairy products
Yolks,2,34,120,6,10,8,0,0,"Fats, Oils, Shortenings"
French dressing,1 T.,15,60,0,6,2,0,2,"Fats, Oils, Shortenings"
Bacon,2 slices,16,95,4,8,7,0,1,"Meat, Poultry"
Ground lean,3 oz.,85,185,24,10,9,0,0,"Meat, Poultry"
"Steak(lean as round)",3 oz.,85,220,24,12,11,0,0,"Meat, Poultry"
chicken,3 oz.,85,185,23,9,7,0,0,"Meat, Poultry"
Crab meat,3 oz.,85,90,14,2,0,0,1,"Fish, Seafood"
Tuna,3 oz.,85,170,25,7,3,0,0,"Fish, Seafood"
Salmon,3 oz.,85,120,17,5,1,0,0,"Fish, Seafood"
Broccoli,1 cup,150,45,5,0,0,1.9,8,Vegetables A-E
Cauliflower,1 cup,120,30,3,0,0,1,6,Vegetables A-E
Spinach,1 cup,100,26,3,0,0,1,3,Vegetables R-Z
Banana,1 med.,150,85,1,0,0,0.9,23,Fruits A-F
Blueberries,1 cup,250,245,1,0,0,2,65,Fruits A-F
Almonds,1/2 cup,70,425,13,38,28,1.8,13,Seeds and Nuts
Vegetable,1 cup,250,80,4,2,2,0,14,Soups
Tea,1 cup,230,4,0,0,0,0,1,"Drinks,Alcohol, Beverages"
